City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
82,Kapaa,US,22.08,-159.32,80.6,74,1,6.93,clear sky
83,Carnarvon,AU,-24.87,113.63,77.0,69,75,17.22,broken clouds
84,Saint George,US,37.1,-113.58,64.4,39,32,4.7,scattered clouds
85,Kavieng,PG,-2.57,150.8,84.43,70,33,4.61,light rain
86,Severo-Kurilsk,RU,50.68,156.12,47.77,78,69,8.48,broken clouds
87,Sorland,NO,67.67,12.69,42.62,69,74,26.73,broken clouds
88,Beloha,MG,-25.17,45.05,80.83,49,32,7.0,scattered clouds
89,Chuy,UY,-33.7,-53.46,62.11,98,12,6.11,few clouds
90,Okhotsk,RU,59.38,143.3,39.13,82,100,18.79,overcast clouds
91,Itarema,BR,-2.92,-39.92,79.86,77,20,16.13,few clouds
92,Tura,IN,25.52,90.22,78.73,84,35,3.6,scattered clouds
93,Hobyo,SO,5.35,48.53,81.52,71,96,3.42,light rain
94,Adelaide,AU,-34.93,138.6,60.8,26,75,18.34,broken clouds
95,Yairipok,IN,24.67,94.07,79.29,68,70,0.6,broken clouds
96,Lorengau,PG,-2.02,147.27,85.96,62,57,6.78,broken clouds
97,Morros,BR,-9.45,-46.3,74.28,81,100,3.33,light rain
98,Saldanha,ZA,-33.01,17.94,60.8,72,1,1.12,clear sky
99,Ribeira Grande,PT,38.52,-28.7,65.82,75,100,12.59,overcast clouds
100,San Quintin,MX,30.48,-115.95,65.26,80,100,9.31,overcast clouds
101,Ahipara,NZ,-35.17,173.17,66.31,72,33,9.24,scattered clouds
102,Tasiilaq,GL,65.61,-37.64,32.0,97,68,5.82,broken clouds
103,Port Shepstone,ZA,-30.74,30.45,72.48,82,39,13.78,scattered clouds
104,Aklavik,CA,68.22,-135.01,33.8,55,40,8.05,scattered clouds
105,Quatre Cocos,MU,-20.21,57.76,75.0,78,75,17.22,shower rain
106,Kaihua,CN,23.37,104.28,72.64,47,100,8.97,overcast clouds
107,Kruisfontein,ZA,-34.0,24.73,63.0,91,7,1.01,clear sky
108,Ponta Do Sol,PT,32.67,-17.1,64.4,72,20,9.17,few clouds
109,Saint-Francois,FR,46.42,3.91,41.0,100,0,2.24,clear sky
110,Wladyslawowo,PL,54.79,18.4,51.01,93,0,6.93,clear sky
111,Toora-Khem,RU,52.47,96.11,23.65,78,100,10.56,overcast clouds
112,Mount Gambier,AU,-37.83,140.77,55.4,58,90,21.92,overcast clouds
113,Santa Maria Da Boa Vista,BR,-8.81,-39.83,72.16,77,87,14.09,overcast clouds
114,Torbay,CA,47.67,-52.73,51.01,100,90,16.11,moderate rain
115,Tiznit,MA,29.58,-9.5,62.4,44,87,0.16,overcast clouds
116,Thompson,CA,55.74,-97.86,21.2,92,90,5.82,overcast clouds
117,Oneonta,US,42.45,-75.06,37.0,86,88,4.25,overcast clouds
118,Dingle,PH,11.0,122.67,78.15,90,100,1.19,moderate rain
119,Phangnga,TH,8.45,98.53,82.99,94,75,1.12,broken clouds
120,Provideniya,RU,64.38,-173.3,32.76,91,67,8.79,broken clouds
121,Whitehorse,CA,60.72,-135.05,21.2,67,75,13.87,broken clouds
122,Lagoa,PT,39.05,-27.98,64.15,71,96,16.04,overcast clouds
123,Sabha,LY,27.04,14.43,61.34,49,0,8.19,clear sky
124,Brae,GB,60.4,-1.35,48.2,81,26,12.75,scattered clouds
125,Uyskoye,RU,54.38,60.0,43.54,81,99,12.66,overcast clouds
126,Sambava,MG,-14.27,50.17,77.56,67,41,9.82,light rain
127,Khorixas,NA,-20.37,14.97,69.42,37,29,3.76,scattered clouds
128,Ostersund,SE,63.18,14.64,33.8,97,100,14.99,light snow
129,Zhezkazgan,KZ,47.8,67.71,39.63,62,98,16.15,overcast clouds
130,Dakar,SN,14.69,-17.44,78.8,94,20,9.17,mist
131,Lebu,CL,-37.62,-73.65,47.34,82,0,4.88,clear sky
132,Leningradskiy,RU,69.38,178.42,23.13,91,0,10.09,clear sky
133,Husavik,IS,66.04,-17.34,41.0,80,90,19.46,overcast clouds
134,Zapolyarnyy,RU,69.42,30.81,35.6,99,91,16.11,overcast clouds
135,Jamestown,US,42.1,-79.24,39.0,74,90,3.94,overcast clouds
136,Razole,IN,16.48,81.83,90.52,49,2,3.31,clear sky
137,Bose,IT,45.46,8.01,53.01,83,0,4.0,clear sky
138,Ibra,OM,22.69,58.53,84.18,14,0,11.39,clear sky
139,Seymchan,RU,62.88,152.43,31.77,94,100,9.06,overcast clouds
